"body_len", "creation_date", "labels", "id", "title_len", "last_modified_date", "closed_at", "author", "comments_num"
0, 2021-07-05 12:08:19, , 937026500, 67, None, 2021-09-13 08:32:01, Erez Shinan, 1
43, 2021-07-05 09:09:37, , 936870729, 29, None, 2021-07-05 11:37:20, Erez Shinan, 1
1155, 2021-07-02 16:57:24, , 935930269, 111, None, 2021-10-17 09:59:03, Brando Miranda, 4
0, 2021-07-01 14:22:36, , 934902739, 62, None, 2021-07-05 09:07:17, Erez Shinan, 0
333, 2021-06-29 20:35:19, , 933082453, 70, None, 2021-08-13 16:04:38, None, 3
67, 2021-06-29 18:58:29, , 933017924, 28, None, 2022-01-29 08:58:29, ThatXliner, 1
702, 2021-06-28 18:55:31, , 931869122, 16, None, 2021-08-17 07:08:43, None, 11
99, 2021-06-27 21:29:30, , 931022377, 20, None, 2021-09-13 08:13:45, Erez Shinan, 17
202, 2021-06-26 14:10:09, , 930703256, 57, None, 2021-09-13 08:27:40, ornariece, 32
46, 2021-06-25 22:28:02, , 930538680, 42, None, 2021-06-26 08:33:49, None, 0
1699, 2021-06-24 11:52:10, , 929148883, 46, None, 2021-10-17 10:09:42, Dmitry Nikolaev, 4
3286, 2021-06-23 10:58:06, , 928130512, 39, None, 2021-06-23 11:15:06, None, 7
292, 2021-06-22 20:23:55, , 927604565, 45, None, 2021-06-26 11:09:07, None, 2
0, 2021-06-16 15:02:22, , 922733205, 47, None, 2021-06-16 16:55:25, Phil Demetriou, 7
797, 2021-06-15 15:03:17, question, 921496521, 57, None, 2021-06-15 16:23:17, Pranav Saxena, 6
737, 2021-06-15 14:56:37, question, 921489674, 29, None, 2021-06-15 15:05:57, ZhouYao, 2
729, 2021-06-12 20:19:37, , 919655097, 32, None, 2021-06-26 08:36:37, None, 0
96, 2021-06-05 14:21:30, , 912285105, 68, None, 2021-06-05 18:57:45, Erez Shinan, 7
0, 2021-06-05 13:34:46, , 912266772, 58, None, 2021-06-05 13:59:15, Erez Shinan, 0
1472, 2021-05-29 17:12:14, question, 906517884, 33, None, 2021-05-31 01:49:54, Julian, 3
4607, 2021-05-28 19:59:49, , 905975833, 23, None, 2022-02-15 08:51:55, Tomasz Kłoczko, 2
4384, 2021-05-28 19:53:21, , 905967236, 42, None, 2021-10-17 09:58:12, Tomasz Kłoczko, 10
864, 2021-05-25 21:53:04, question, 901415178, 24, None, 2021-10-17 10:11:40, Gary Geng, 4
1307, 2021-05-24 09:38:53, , 899492049, 68, None, 2021-05-24 09:47:26, None, 2
1668, 2021-05-24 09:04:39, question, 899465450, 40, None, 2021-05-24 10:43:28, None, 3
3133, 2021-05-21 18:16:49, , 898299143, 43, None, 2021-05-21 18:41:57, Gary Geng, 2
1561, 2021-05-20 05:15:12, , 896290187, 94, None, 2022-02-15 08:55:43, Wesley J. Landaker, 5
1508, 2021-05-13 17:49:50, question, 891240255, 25, None, 2021-10-17 10:11:21, Jesko, 9
0, 2021-05-06 01:02:51, , 876979086, 48, None, 2021-07-27 08:56:28, Erez Shinan, 1
795, 2021-05-05 09:50:48, , 876273547, 59, None, 2022-02-15 08:51:00, Aaron, 5
317, 2021-05-05 09:13:57, , 876243200, 37, None, 2021-05-05 14:33:21, Aaron, 1
5262, 2021-05-04 16:21:34, , 875625098, 54, None, 2021-06-26 11:09:06, Gerasimos, 4
0, 2021-04-24 16:07:17, , 866780374, 62, None, 2021-04-24 21:23:45, ThatXliner, 5
1005, 2021-04-23 20:30:21, enhancement, 866412456, 44, None, 2021-04-23 21:02:32, ThatXliner, 4
4689, 2021-04-23 08:53:28, question, 865900510, 73, None, 2022-01-15 19:02:23, suku, 2
300, 2021-04-17 16:39:44, enhancement, 860450105, 47, None, 2021-04-17 22:52:17, ThatXliner, 2
159, 2021-04-16 21:51:55, , 860194104, 70, None, 2021-05-23 15:51:27, None, 0
14, 2021-04-15 18:14:27, , 859135185, 35, None, 2021-04-15 19:20:26, Erez Shinan, 1
486, 2021-04-15 09:44:37, , 858701831, 23, None, 2022-02-15 08:52:16, Tomasz Kłoczko, 7
